county,industry,description,notused1,notused2,employment,laborinc,output
Grand Traverse,502,Limited-service restaurants,,,1802,32139270,138410900
Grand Traverse,395,Wholesale trade,,,1667,91892520,329617100
Grand Traverse,405,Retail - General merchandise stores,,,1631,43427710,120894600
Grand Traverse,438,"Insurance agencies, brokerages, and related activities",,,1192,88410180,248104600
Gratiot,534,"* Employment and payroll of local govt, education",,,1020,62649530,70518860
Gratiot,483,Nursing and community care facilities,,,965,32088750,57469080
Gratiot,395,Wholesale trade,,,747,124225800,235249700
Gratiot,531,"* Employment and payroll of state govt, non-education",,,670,53502580,60739870
Gratiot,405,Retail - General merchandise stores,,,566,15072870,41937280
Gratiot,469,Landscape and horticultural services,,,518,21535700,34822770
Gratiot,482,Hospitals,,,490,25835820,58755560
Gratiot,473,"Junior colleges, colleges, universities, and professional schools",,,489,17098740,41588860
Gratiot,533,"* Employment and payroll of local govt, non-education",,,465,22708150,25582050
Gratiot,440,Real estate,,,434,2117560,38915560
Hillsdale,534,"* Employment and payroll of local govt, education",,,1263,80233000,90310980
Hillsdale,355,Motor vehicle metal stamping,,,808,61731420,314941300
Hillsdale,533,"* Employment and payroll of local govt, non-education",,,785,41069530,46267200
Hillsdale,464,Employment services,,,635,24553580,39666720
Hillsdale,440,Real estate,,,614,2813151,63526780
Hillsdale,356,Other motor vehicle parts manufacturing,,,511,36303740,268299800
Hillsdale,351,Motor vehicle electrical and electronic equipment manufacturing,,,468,28917290,184503700
Hillsdale,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,,466,3650328,18378610
Hillsdale,517,Private households,,,413,2526507,2526507
Hillsdale,395,Wholesale trade,,,390,19632870,73803300
Houghton,532,"* Employment and payroll of state govt, education",,,1511,90798980,102832900
Houghton,482,Hospitals,,,1171,75091240,154512600
Houghton,531,"* Employment and payroll of state govt, non-education",,,922,87632200,99486220
Houghton,533,"* Employment and payroll of local govt, non-education",,,547,29283850,32989950
Houghton,501,Full-service restaurants,,,515,7634290,19223370
Houghton,534,"* Employment and payroll of local govt, education",,,500,40072250,45105680
Houghton,405,Retail - General merchandise stores,,,473,12965720,35501120
Houghton,502,Limited-service restaurants,,,431,6340386,30603700
Houghton,503,All other food and drinking places,,,391,7568155,12065520
Houghton,400,Retail - Food and beverage stores,,,367,7791724,21103870
Huron,482,Hospitals,,,916,56692080,118661100
Huron,534,"* Employment and payroll of local govt, education",,,767,47586380,53563640
Huron,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,,679,21888900,149979900
Huron,533,"* Employment and payroll of local govt, non-education",,,674,28956860,32621580
Huron,440,Real estate,,,544,2953119,40982500
Huron,411,Truck transportation,,,459,26143860,71910760
Huron,12,Dairy cattle and milk production,,,430,51762130,243227700
Huron,395,Wholesale trade,,,406,21658360,78871340
Huron,433,Monetary authorities and depository credit intermediation,,,405,20807480,56097950
Huron,405,Retail - General merchandise stores,,,338,9844883,26060480
