county,year,table,sector,description,direct,indirect,induced,total
Dickinson,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-6.0176214343077978,-200.49322575955225,-206.51084719386003
Dickinson,2014,Output,20,21 Mining,0,-91.188462251795087,-59.733647859893956,-150.92211011168902
Dickinson,2014,Output,41,22 Utilities,0,-4975.2069375489837,-2814.8788265944136,-7790.0857641433977
Dickinson,2014,Output,52,23 Construction,0,-2215.0932665086643,-1178.9052757546804,-3393.9985422633445
Dickinson,2014,Output,65,31-33 Manufacturing,0,-3035.1955252691969,-833.62742042340597,-3868.8229456926028
Dickinson,2014,Output,395,42 Wholesale Trade,-452791.71999999997,-6544.546803812962,-2536.3561389184188,-461872.62294273137
Dickinson,2014,Output,396,44-45 Retail trade,0,-911.19348859196748,-8816.967430171715,-9728.1609187636841
Dickinson,2014,Output,408,48-49 Transportation & Warehousing,0,-12023.023761237475,-1746.5680023975351,-13769.591763635011
Dickinson,2014,Output,417,51-56 Professional Services,0,-34048.328517440685,-24404.963340161299,-58453.291857601987
Dickinson,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-6197.0632029792541,-20136.012235416139,-26333.075438395397
Dickinson,2014,Output,520,92 Government & non NAICs,0,-4174.67667094239,-359.80813667072891,-4534.4848076131193
Eaton,2014,Output,0,Total,-452791.71999999997,-76611.827692785635,-72682.55190733567,-602086.09960012138
Eaton,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-4.4975895984442218,-23.679488662573725,-28.177078261017947
Eaton,2014,Output,20,21 Mining,0,-36.029553922563792,-32.573399702901384,-68.602953625465176
Eaton,2014,Output,41,22 Utilities,0,-6.4087977055629013,-10.71030439435094,-17.119102099913842
Eaton,2014,Output,52,23 Construction,0,-2243.5665908840906,-1184.9208668846225,-3428.4874577687128
Eaton,2014,Output,65,31-33 Manufacturing,0,-298.59327063861667,-208.25037526676789,-506.84364590538445
Eaton,2014,Output,395,42 Wholesale Trade,-452791.71999999997,-5028.2794795417576,-2380.0111905744343,-460200.01067011617
Eaton,2014,Output,396,44-45 Retail trade,0,-726.17816143454638,-9600.9856957632655,-10327.163857197815
Eaton,2014,Output,408,48-49 Transportation & Warehousing,0,-12269.388239869841,-2191.2029779334912,-14460.591217803334
Eaton,2014,Output,417,51-56 Professional Services,0,-46027.911136760878,-35458.875094713156,-81486.786231474034
Eaton,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-7706.3502621316256,-21229.082787000421,-28935.433049132051
Eaton,2014,Output,520,92 Government & non NAICs,0,-2264.6246102977075,-362.2597264396972,-2626.8843367374038
Emmet,2014,Output,0,Total,-276118.56,-77998.675363211485,-54232.000989550703,-408349.23635276215
Emmet,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-7.1803295401781568,-92.553271709430675,-99.73360124960881
Emmet,2014,Output,20,21 Mining,0,-66.790511815321551,-34.150794596060919,-100.94130641138246
