county,year,industry,description,notused1,notused2,employment,laborinc,output
Genesee,2014,49,Electric power transmission and distribution,,,404,43943820,508544600
Gladwin,2014,343,Automobile manufacturing,,,129,9212278,208855600
Gladwin,2014,441,Owner-occupied dwellings,,,0,0,90548750
Gladwin,2014,271,All other industrial machinery manufacturing,,,234,18674640,63369100
Gladwin,2014,440,Real estate,,,171,2968167,36075940
Gladwin,2014,41,Electric power generation - Hydroelectric,,,41,4392309,26545970
Gladwin,2014,188,Plastics packaging materials and unlaminated film and sheet manufacturing,,,70,2081872,25268140
Gladwin,2014,534,"* Employment and payroll of local govt, education",,,325,21610160,24324580
Gladwin,2014,16,Commercial logging,,,217,6952570,19974930
Gladwin,2014,401,Retail - Health and personal care stores,,,176,8979877,17410890
Gladwin,2014,483,Nursing and community care facilities,,,250,7872327,14432710
Gogebic,2014,526,Other local government enterprises,,,651,30579900,147304100
Gogebic,2014,441,Owner-occupied dwellings,,,0,0,59996020
Gogebic,2014,440,Real estate,,,278,3543691,53425720
Gogebic,2014,136,Veneer and plywood manufacturing,,,154,7460390,40708980
Gogebic,2014,482,Hospitals,,,229,18936200,34768740
Gogebic,2014,195,Other plastics product manufacturing,,,139,6526653,34399180
Gogebic,2014,534,"* Employment and payroll of local govt, education",,,428,24183010,27220610
Gogebic,2014,533,"* Employment and payroll of local govt, non-education",,,444,20292900,22861130
Gogebic,2014,395,Wholesale trade,,,114,4661416,19939850
Gogebic,2014,405,Retail - General merchandise stores,,,265,6868556,19436750
Grand Traverse,2014,482,Hospitals,,,3498,228818100,466272200
Grand Traverse,2014,441,Owner-occupied dwellings,,,0,0,399469200
Grand Traverse,2014,440,Real estate,,,2777,22492230,338182000
Grand Traverse,2014,395,Wholesale trade,,,1667,91892520,329617100
Grand Traverse,2014,475,Offices of physicians,,,1831,212974100,290831000
Grand Traverse,2014,438,"Insurance agencies, brokerages, and related activities",,,1192,88410180,248104600
Grand Traverse,2014,156,Petroleum refineries,,,23,11790610,210421500
Grand Traverse,2014,42,Electric power generation - Fossil  fuel,,,152,19549220,201265400
Grand Traverse,2014,20,Extraction of natural gas and crude petroleum,,,1130,105561300,195334300
Grand Traverse,2014,534,"* Employment and payroll of local govt, education",,,2541,159836900,179913800
Gratiot,2014,166,Plastics material and resin manufacturing,,,257,17456990,380719300
Gratiot,2014,395,Wholesale trade,,,747,124225800,235249700
Gratiot,2014,441,Owner-occupied dwellings,,,0,0,149874900
Gratiot,2014,183,Printing ink manufacturing,,,292,19620720,126009600
Gratiot,2014,12,Dairy cattle and milk production,,,282,27247670,121100700
Gratiot,2014,49,Electric power transmission and distribution,,,87,10881990,113163900
Gratiot,2014,353,Motor vehicle transmission and power train parts manufacturing,,,189,11642600,108372000
Gratiot,2014,106,Bottled and canned soft drinks & water,,,97,3940405,70592500
Gratiot,2014,534,"* Employment and payroll of local govt, education",,,1020,62649530,70518860
Gratiot,2014,2,Grain farming,,,188,4356280,69234340
Hillsdale,2014,355,Motor vehicle metal stamping,,,808,61731420,314941300
Hillsdale,2014,356,Other motor vehicle parts manufacturing,,,511,36303740,268299800
Hillsdale,2014,351,Motor vehicle electrical and electronic equipment manufacturing,,,468,28917290,184503700
Hillsdale,2014,441,Owner-occupied dwellings,,,0,0,163351400
Hillsdale,2014,90,Meat processed from carcasses,,,333,14062390,156967100
Hillsdale,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,167,16796580,112877100
Hillsdale,2014,353,Motor vehicle transmission and power train parts manufacturing,,,172,17751930,111449900
Hillsdale,2014,66,Other animal food manufacturing,,,72,2555233,96691340
Hillsdale,2014,534,"* Employment and payroll of local govt, education",,,1263,80233000,90310980
Hillsdale,2014,217,Iron and steel mills and ferroalloy manufacturing,,,81,5576367,83558740
Houghton,2014,482,Hospitals,,,1171,75091240,154512600
Houghton,2014,166,Plastics material and resin manufacturing,,,92,6798154,136243900
Houghton,2014,441,Owner-occupied dwellings,,,0,0,133809000
Houghton,2014,532,"* Employment and payroll of state govt, education",,,1511,90798980,102832900
Houghton,2014,531,"* Employment and payroll of state govt, non-education",,,922,87632200,99486220
Houghton,2014,534,"* Employment and payroll of local govt, education",,,500,40072250,45105680
Houghton,2014,395,Wholesale trade,,,249,11009690,45032250
Houghton,2014,440,Real estate,,,346,2172396,44644090
Houghton,2014,49,Electric power transmission and distribution,,,29,3483593,37200560
Houghton,2014,264,Construction machinery manufacturing,,,56,2477955,37086060
Huron,2014,12,Dairy cattle and milk production,,,430,51762130,243227700
Huron,2014,71,Soybean and other oilseed processing,,,45,2760487,234925600
Huron,2014,74,Beet sugar manufacturing,,,247,14682280,171917800
Huron,2014,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,,679,21888900,149979900
Huron,2014,2,Grain farming,,,246,8271010,141613600
