county,table,sector,description,direct,indirect,induced,total
Bay,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.52662675440539508,-2.0076331840114143,-2.5342599384168096
Bay,Employment,520,92 Government & non NAICs,0,-0.012052402679823604,-0.011479904969525924,-0.023532307649349528
Benzie,Output,0,Total,-106269.11,-21990.074250275014,-8163.7792755978553,-136422.96352587288
Benzie,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-3.6664137988289891,-30.781721104470211,-34.448134903299206
Benzie,Output,20,21 Mining,0,-37.707727978044993,-13.819697091886212,-51.527425069931205
Benzie,Output,41,22 Utilities,0,-39.688870433830893,-31.764890419383885,-71.453760853214774
Benzie,Output,52,23 Construction,0,-1042.1527689745167,-225.27362035060537,-1267.4263893251221
Benzie,Output,65,31-33 Manufacturing,0,-80.988543130263579,-17.172451126610078,-98.160994256873693
Benzie,Output,395,42 Wholesale Trade,-106269.11,-1083.757411407234,-197.40529779502774,-107550.27270920227
Benzie,Output,396,44-45 Retail trade,0,-278.17059297754759,-1053.7648903134991,-1331.9354832910465
Benzie,Output,408,48-49 Transportation & Warehousing,0,-2615.6961708127255,-96.089983141420504,-2711.7861539541464
Benzie,Output,417,51-56 Professional Services,0,-14426.588733934588,-3923.1334727693593,-18349.722206703951
Benzie,Output,472,"61-72 Educational, Health, Recreation Service",0,-2381.6570168274352,-2574.5732514855931,-4956.2302683130301
Benzie,Output,520,92 Government & non NAICs,0,0,0,0
Benzie,Employment,0,Total,-0.69417059421539307,-0.30197680215780337,-0.086936148212548331,-1.083083544585745
Benzie,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00011839137030124088,-0.00072178729803121569,-0.00084017866833245667
Benzie,Employment,20,21 Mining,0,-0.00023929185334143458,-8.847906284097219E-05,-0.00032777091618240681
Benzie,Employment,41,22 Utilities,0,-0.00017891138311248737,-0.00014319128806710208,-0.00032210267117958945
Benzie,Employment,52,23 Construction,0,-0.007974266861300025,-0.0016484740479721007,-0.0096227409092721258
Benzie,Employment,65,31-33 Manufacturing,0,-0.00066591293178055251,-5.5837068731946791E-05,-0.00072175000051249939
Benzie,Employment,395,42 Wholesale Trade,-0.69417059421539307,-0.0070793152938084195,-0.0012894899993759039,-0.70253939950857747
Benzie,Employment,396,44-45 Retail trade,0,-0.0041248052257489062,-0.01515328606241694,-0.019278091288165843
Benzie,Employment,408,48-49 Transportation & Warehousing,0,-0.028620698149928969,-0.0008078823900010254,-0.029428580539929992
Benzie,Employment,417,51-56 Professional Services,0,-0.2007942103790637,-0.020971441000858376,-0.22176565137992213
Benzie,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.052180998709417621,-0.046056279994252755,-0.098237278703670397
Benzie,Employment,520,92 Government & non NAICs,0,0,0,0
Berrien,Output,0,Total,-2345685.5,-514234.06885359908,-540275.39026298642,-3400194.9591165851
Berrien,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-39.221995720570696,-1217.2139620846622,-1256.4359578052329
Berrien,Output,20,21 Mining,0,-546.72741698068023,-579.25882985875398,-1125.9862468394342
Berrien,Output,41,22 Utilities,0,-22117.287397638833,-16520.5234920318,-38637.810889670625
Berrien,Output,52,23 Construction,0,-7505.2250226541219,-5893.6534423268859,-13398.878464981006
